,MedianICC,MedianICCLower,MedianICCHigher
log-sigma-1-0-mm-3D_glcm_Id_20_binCount,0.888585243,0.872140528,0.904270866
log-sigma-1-0-mm-3D_glcm_Idn_20_binCount,0.923007271,0.911144677,0.934198905
log-sigma-1-0-mm-3D_glcm_InverseVariance_20_binCount,0.672471655,0.636918604,0.708798723
log-sigma-1-0-mm-3D_glcm_MaximumProbability_20_binCount,0.670943048,0.635311841,0.707367694
log-sigma-1-0-mm-3D_glcm_SumSquares_20_binCount,0.910985643,0.897472861,0.923783043
log-sigma-1-0-mm-3D_glcm_SumEntropy_20_binCount,0.90126178,0.886453497,0.915329599
log-sigma-1-0-mm-3D_glrlm_GrayLevelNonUniformity_20_binCount,0.9237574,0.911999562,0.934847554
log-sigma-1-0-mm-3D_glrlm_GrayLevelNonUniformityNormalized_20_binCount,0.885448924,0.86860846,0.90152808
log-sigma-1-0-mm-3D_glrlm_GrayLevelVariance_20_binCount,0.869113878,0.850270414,0.887199316
log-sigma-1-0-mm-3D_glrlm_HighGrayLevelRunEmphasis_20_binCount,0.800170972,0.773934277,0.825911046
log-sigma-1-0-mm-3D_glrlm_LongRunEmphasis_20_binCount,0.599695521,0.561269898,0.639878049
log-sigma-1-0-mm-3D_glrlm_LongRunHighGrayLevelEmphasis_20_binCount,0.589074204,0.550372439,0.629682628
log-sigma-1-0-mm-3D_glrlm_LongRunLowGrayLevelEmphasis_20_binCount,0.562099098,0.522857041,0.603629727
log-sigma-1-0-mm-3D_glrlm_LowGrayLevelRunEmphasis_20_binCount,0.686562755,0.651766679,0.721957249
log-sigma-1-0-mm-3D_glrlm_RunEntropy_20_binCount,0.622472419,0.584760901,0.661623209
log-sigma-1-0-mm-3D_glrlm_RunLengthNonUniformity_20_binCount,0.943276035,0.934318115,0.951672889
